pr_number,title,author,github_author,topic,deadline_at,deadline_type,first_signal_at,first_commit_at,last_commit_at,first_signal_source,hours_before_deadline,within_24h,within_72h,commit_count,churn,additions,deletions,changed_files
280,增加了光源阻挡,Vanish,Vanish,Other,2026-04-21T21:02:22+08:00,merged_at,2026-04-21T21:02:22+08:00,2026-04-21T21:02:22+08:00,2026-04-21T21:02:22+08:00,linked_commit,0.0,True,True,1,12,10,2,1
279,修好了一个蠢bug,Vanish,Vanish,Bug/Fix,2026-04-21T20:41:51+08:00,merged_at,2026-04-21T20:41:51+08:00,2026-04-21T20:41:51+08:00,2026-04-21T20:41:51+08:00,linked_commit,0.0,True,True,1,245,124,121,39
274,add some lights,likoko,likoko,Rendering,2026-04-20T00:32:46+08:00,merged_at,2026-04-20T00:32:46+08:00,2026-04-20T00:32:46+08:00,2026-04-20T00:32:46+08:00,linked_commit,0.0,True,True,1,335,319,16,10
266,feat: WebGL 构建 + GitHub Pages 部署 + CI/CD 修复 (#266),Vanish,Vanish,Build/CI,2026-04-12T19:04:36+08:00,merged_at,2026-04-12T19:04:36+08:00,2026-04-12T19:04:36+08:00,2026-04-12T19:04:36+08:00,linked_commit,0.0,True,True,1,1775,1572,203,13
263,feat: transition to RainRust project & refactor CI/CD/Core systems,Vanish,Vanish,Refactor,2026-04-12T07:18:16+08:00,merged_at,2026-04-12T07:18:16+08:00,2026-04-12T07:18:16+08:00,2026-04-12T07:18:16+08:00,linked_commit,0.0,True,True,1,10755,5672,5083,171
254,feat: 实现 FMOD 音频系统 (VgAudioManager),Vanish,Vanish,Audio,2026-04-10T10:40:10+08:00,merged_at,2026-04-10T10:40:10+08:00,2026-04-10T10:40:10+08:00,2026-04-10T10:40:10+08:00,linked_commit,0.0,True,True,1,499119,293445,205674,2493
251,Refactor Save System and Enhance LDtk Integration,Vanish,Vanish,Refactor,2026-04-08T21:44:01+08:00,merged_at,2026-04-08T21:44:01+08:00,2026-04-08T21:44:01+08:00,2026-04-08T21:44:01+08:00,linked_commit,0.0,True,True,1,16553,2299,14254,89
250,咋这么多更改吓哭了,likoko,likoko,Other,2026-04-08T20:10:40+08:00,merged_at,2026-04-08T20:10:40+08:00,2026-04-08T20:10:40+08:00,2026-04-08T20:10:40+08:00,linked_commit,0.0,True,True,1,192327,192318,9,1924
242,Likoko/4.2bg,likoko,likoko,Other,2026-04-02T19:45:27+08:00,merged_at,2026-04-02T19:45:27+08:00,2026-04-02T19:45:27+08:00,2026-04-02T19:45:27+08:00,linked_commit,0.0,True,True,1,544,466,78,27
239,237 hybird lighting solution,Vanish,Vanish,Rendering,2026-04-02T00:19:54+08:00,merged_at,2026-04-02T00:19:54+08:00,2026-04-02T00:19:54+08:00,2026-04-02T00:19:54+08:00,linked_commit,0.0,True,True,1,663,469,194,17
236,update,Vanish,Vanish,Other,2026-04-01T17:07:06+08:00,merged_at,2026-04-01T17:07:06+08:00,2026-04-01T17:07:06+08:00,2026-04-01T17:07:06+08:00,linked_commit,0.0,True,True,1,44,25,19,2
235,done,Vanish,Vanish,Other,2026-04-01T16:49:46+08:00,merged_at,2026-04-01T16:49:46+08:00,2026-04-01T16:49:46+08:00,2026-04-01T16:49:46+08:00,linked_commit,0.0,True,True,1,32,32,0,3
223,update,Vanish,Vanish,Other,2026-03-26T22:20:55+08:00,merged_at,2026-03-26T22:20:55+08:00,2026-03-26T22:20:55+08:00,2026-03-26T22:20:55+08:00,linked_commit,0.0,True,True,1,410,242,168,8
220,测试一下,likoko,likoko,Other,2026-03-26T18:05:20+08:00,merged_at,2026-03-26T18:05:20+08:00,2026-03-26T18:05:20+08:00,2026-03-26T18:05:20+08:00,linked_commit,0.0,True,True,1,98,91,7,7
219,update,Vanish,Vanish,Other,2026-03-26T17:44:38+08:00,merged_at,2026-03-26T17:44:38+08:00,2026-03-26T17:44:38+08:00,2026-03-26T17:44:38+08:00,linked_commit,0.0,True,True,1,157,144,13,4
217,update,OriSYX,OriSYX,Other,2026-03-26T07:02:30+08:00,merged_at,2026-03-26T07:02:30+08:00,2026-03-26T07:02:30+08:00,2026-03-26T07:02:30+08:00,linked_commit,0.0,True,True,1,304435,287316,17119,220
215,Vanihs/lighting,Vanish,Vanish,Rendering,2026-03-26T02:04:50+08:00,merged_at,2026-03-26T02:04:50+08:00,2026-03-26T02:04:50+08:00,2026-03-26T02:04:50+08:00,linked_commit,0.0,True,True,1,1075,991,84,32
213,Oris/3.24 project,OriSYX,OriSYX,Other,2026-03-25T20:53:05+08:00,merged_at,2026-03-25T20:53:05+08:00,2026-03-25T20:53:05+08:00,2026-03-25T20:53:05+08:00,linked_commit,0.0,True,True,1,26943,25998,945,63
209,butify,Vanish,Vanish,Other,2026-03-25T02:28:26+08:00,merged_at,2026-03-25T02:28:26+08:00,2026-03-25T02:28:26+08:00,2026-03-25T02:28:26+08:00,linked_commit,0.0,True,True,1,9227,8778,449,98
206,crt effect,Vanish,Vanish,Other,2026-03-24T21:17:07+08:00,merged_at,2026-03-24T21:17:07+08:00,2026-03-24T21:17:07+08:00,2026-03-24T21:17:07+08:00,linked_commit,0.0,True,True,1,18,13,5,3
204,Vanish/fixing everything,Vanish,Vanish,Bug/Fix,2026-03-24T21:04:45+08:00,merged_at,2026-03-24T21:04:45+08:00,2026-03-24T21:04:45+08:00,2026-03-24T21:04:45+08:00,linked_commit,0.0,True,True,1,416,330,86,18
