path,last_commit,first_commit,days_since_last_commit
Assets/TextMesh Pro/Resources/LineBreaking Leading Characters.txt,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Sprites/EmojiOne.json.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Prefabs/DebugLogItem.prefab.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Resources/LineBreaking Following Characters.txt,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Scripts/DebugLogEntry.cs.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Sprites/IconHide.psd,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Sprites/EmojiOne.json,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF - Fallback.asset.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Sprites/IconSnapToBottom.psd.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Documentation/TextMesh Pro User Guide 2016.pdf.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Sprites/SlicedBackground2.psd.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Resources/Sprite Assets/EmojiOne.asset.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Sprites/SlicedBackground3.psd,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Scripts/环境配置_Win.bat,2025-08-16T23:52:13+08:00,2025-07-08T21:13:44+08:00,305
Assets/Core/FP/Result.cs.meta,2025-08-16T23:52:13+08:00,2025-07-09T19:30:45+08:00,305
Assets/Plugins/IngameDebugConsole/Scripts/DebugLogPopup.cs.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF - Outline.mat,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/TextMesh Pro/Shaders.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/IngameDebugConsole/Scripts/EventSystemHandler.cs.meta,2025-08-16T23:52:13+08:00,2025-07-09T21:35:42+08:00,305
Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/manifest.txt.meta,2025-08-16T23:52:13+08:00,2025-08-06T19:13:27+08:00,305
