author,path,insertions,deletions,touches,churn
OriSYX,Assets/Arts/MatDoor/熄灭0-3.png.meta,143,0,1,143
OriSYX,Assets/Arts/MatDoor/熄灭1-2.png.meta,143,0,1,143
OriSYX,Assets/Arts/MatDoor/熄灭1-3.png.meta,143,0,1,143
OriSYX,Assets/Arts/MatDoor/熄灭2-3.png.meta,143,0,1,143
OriSYX,Assets/Arts/Ore/ore_off.png.meta,143,0,1,143
OriSYX,Assets/Arts/Ore/ore_on.png.meta,143,0,1,143
OriSYX,Assets/Arts/PlayerArt/Death/anim_pl_dying.png.meta,143,0,1,143
OriSYX,Assets/Arts/PlayerArt/Death/anim_pl_dyingBack.png.meta,143,0,1,143
OriSYX,Assets/Arts/PlayerArt/Death/anim_pl_respawn.png.meta,143,0,1,143
OriSYX,Assets/Arts/PlayerArt/Death/复活草图.png.meta,143,0,1,143
OriSYX,Assets/Arts/PlayerArt/Death/死亡后退草图.png.meta,143,0,1,143
OriSYX,Assets/Arts/PlayerArt/Death/死亡消散草图.png.meta,143,0,1,143
OriSYX,Assets/Arts/ThornPlatform/art-ThornPlatform-1-2.1.png.meta,143,0,1,143
OriSYX,Assets/Arts/ThornPlatform/art-ThornPlatform-1-2.2.png.meta,143,0,1,143
OriSYX,Assets/Arts/ThornPlatform/art-ThornPlatform-1.png.meta,143,0,1,143
OriSYX,Assets/Arts/ThornPlatform/art-ThornPlatform-2.png.meta,143,0,1,143
OriSYX,Assets/Arts/TileSet/Mat-UnderGround-tile.png.meta,143,0,1,143
OriSYX,Assets/Arts/Temp/Zone-door-1-1.png.meta,143,0,1,143
OriSYX,Assets/Arts/Temp/Zone-door-1-open.png.meta,143,0,1,143
OriSYX,Assets/Arts/Temp/Zone-door-2-0.png.meta,143,0,1,143
OriSYX,Assets/Arts/Temp/Zone-door-2-1.png.meta,143,0,1,143
OriSYX,Assets/Arts/Temp/Zone-door-2-2.png.meta,143,0,1,143
OriSYX,Assets/Arts/Temp/Zone-door-2-open.png.meta,143,0,1,143
OriSYX,Assets/Arts/TileSet/Zone-tile.png.meta,143,0,1,143
OriSYX,Assets/Arts/Checkpoint/CP_IDLE_B_0002.png.meta,143,0,1,143
OriSYX,Assets/Arts/Checkpoint/CP_IDLE_C_0003.png.meta,143,0,1,143
OriSYX,Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Checkpoint/MatCheckpointControl.cs,135,7,2,142
OriSYX,Assets/HierarchyDecorator/Settings.asset,128,2,1,130
OriSYX,CODE_OF_CONDUCT.md,128,0,1,128
OriSYX,Assets/Demos/FunctionDev/OriSPlayerControl Demo/PlayerControl/PlayerControlComponent.cs,125,3,2,128
OriSYX,Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,126,0,1,126
OriSYX,Assets/Demos/FunctionDev/OriSPlayerControl Demo/PlayerArt/Fall/anim_pl_fall2walk_0001.png.meta,6,120,2,126
OriSYX,Assets/Demos/FunctionDev/OriSPlayerControl Demo/PlayerArt/Fall/anim_pl_fall2walk_0002.png.meta,6,120,2,126
OriSYX,Assets/Demos/FunctionDev/OriSPlayerControl Demo/PlayerControl/PlayerCollisionStartCheck.cs,117,9,1,126
OriSYX,Assets/GameMain/Scripts/Editor/DebugUI/DebugUIManagerEditor.cs,0,123,1,123
OriSYX,Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/ThornPlatform/MatThornPlatformControl.cs,115,3,2,118
OriSYX,Assets/Arts/BeeArt/anim_bee_fastidle_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_fastidle_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_fastidle_0003.png.meta,117,0,1,117
