path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerGrabStGravity.cs,15.98,47,4,51,2,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/LDtkTriggerEntity.cs,15.88,22,2,22,1,0,0,1,0
Assets/Core/Events/GameCore/GameCoreEvents.cs,15.79,15,1,29,3,0,1,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStateEndSet.cs,15.53,29,1,33,2,0,0,0,0
Assets/Core/Events/AudioManagerHelper/AudioManagerHelperEvents.cs,15.27,56,5,56,1,0,0,0,0
Assets/GameMain/Scripts/RunTime/Commands/LevelManager/LevelManagerCommands.cs,14.96,53,1,61,2,0,1,0,0
Assets/GameMain/Scripts/RunTime/Events/GamePlay/PlatformGame/GamePlayMatEvents.cs,14.84,35,1,35,1,0,2,0,0
Assets/GameMain/Scripts/RunTime/Events/BeeManager/BeeManagerEvents.cs,14.43,28,1,28,1,0,2,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/ChangeBackground/ChangeBackgroundArea.cs,14.38,34,3,34,1,0,1,0,0
Assets/Core/Extensions/TransformExtension.cs,14.32,28,2,38,3,0,0,0,0
Assets/Core/Common/FramedFloat.cs,14.2,48,1,48,1,0,0,0,1
Assets/GameMain/Scripts/RunTime/UI/SuperText/ParseResult.cs,13.73,16,1,16,1,0,2,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerInputTemp.cs,13.57,47,1,51,2,0,0,0,0
Assets/Core/GameCoreSystems/UI/VgUiManager.cs,13.56,13,1,13,1,0,2,0,0
Assets/Core/GameCoreSystems/Audio/Config/FmodParameterPair.cs,13.44,11,1,11,1,0,2,0,0
Assets/Core/GameCore/GameFlow/LoadContext.cs,12.94,31,1,71,3,0,0,0,0
Assets/Core/Extensions/Vector2Extension.cs,12.82,24,3,26,2,0,0,0,0
Assets/GameMain/Scripts/RunTime/ConsoleUtils/ConsoleCommands.Level.cs,12.79,31,1,53,3,0,0,0,0
Assets/Core/Command/AbastractManagerCommand.cs,12.58,30,1,34,2,0,0,0,0
Assets/Tests/PlayMode/SaveSystemPlayModeTests.cs,12.53,94,1,156,4,0,0,2,0
Assets/Core/Input/InputAction.cs,12.51,29,1,31,3,0,0,0,0
Assets/Core/ConsoleUtilities/ConsoleCommands.Testing.cs,12.46,27,1,37,3,0,0,0,0
Assets/GameMain/Scripts/RunTime/GameMain/GameMain.cs,12.18,23,1,27,3,0,0,0,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerGravityCapability.cs,12.07,72,1,80,2,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeLdtkControl.cs,11.88,22,2,22,1,0,1,0,0
Assets/Core/Command/Addressable/AddressableCommands.cs,10.66,43,1,85,2,0,0,0,0
Assets/Tests/Editor/SaveSystemTests.cs,10.05,298,1,362,3,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerInitialSet.cs,9.93,36,1,40,2,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlComponent.Event.cs,9.85,18,1,18,1,0,1,0,0
Assets/Core/GameCoreSystems/SaveSystem/SaveContainer.cs,9.73,16,1,16,1,0,1,0,0
