from,to,from_path
Unity.RenderPipelines.Universal.Runtime,69257879134bba646869b21467b3338d,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,ab67fb10353d84448ac887a7367cbda8,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,7dbf32976982c98448af054f2512cb79,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,d8b63aba1907145bea998dd612889d6b,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,2665a8d13d1b3f18800f46e256720795,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,4fd6538c1c56b409fb53fdf0183170ec,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,86bc95e6fdb13ff43aa04316542905ae,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,d04eb9c554ad44ceab303cecf0c0cf82,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,214c0945bb158c940aada223f3223ee8,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipelines.Universal.Runtime,c49c619b6af2be941af9bcbca2641964,Packages/com.unity.render-pipelines.universal/Runtime/Unity.RenderPipelines.Universal.Runtime.asmdef
Unity.RenderPipeline.Universal.ShaderLibrary,df380645f10b7bc4b97d4f5eb6303d95,Packages/com.unity.render-pipelines.universal/ShaderLibrary/Unity.RenderPipelines.Universal.ShaderLibrary.asmdef
