path,line,text
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPass.cs,353,// TODO: Add a fast render path if only on-tile compatible effects are used and we're actually running on a platform that supports it
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPass.cs,699,// TODO: Implement swapbuffer in 2DRenderer so we can remove this
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPass.cs,794,// TODO: CoC reprojection once TAA gets in LW
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPass.cs,795,// TODO: Proper LDR/gamma support
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPass.cs,1212,"// TODO: These should be part of URP main matrix set. For now, we set them here for motion vector rendering."
Packages/com.unity.render-pipelines.universal/Runtime/Passes/DeferredPass.cs,8,// TODO use Unity.Mathematics
Packages/com.unity.render-pipelines.universal/Runtime/Passes/DeferredPass.cs,9,// TODO Check if there is a bitarray structure (with dynamic size) available in Unity
Packages/com.unity.render-pipelines.universal/Runtime/Passes/DeferredPass.cs,43,// TODO: Cannot currently bind depth texture as read-only!
Packages/com.unity.render-pipelines.universal/Runtime/Passes/XROcclusionMeshPass.cs,18,public bool m_IsActiveTargetBackBuffer; // TODO: Remove this when we remove non-RG path
Packages/com.unity.render-pipelines.universal/Runtime/Passes/FinalBlitPass.cs,198,// TODO RENDERGRAPH: See https://jira.unity3d.com/projects/URP/issues/URP-1737
Packages/com.unity.render-pipelines.universal/Runtime/Passes/FinalBlitPass.cs,210,// TODO: Final blit pass should always blit to backbuffer. The first time we do we don't need to Load contents to tile.
Packages/com.unity.render-pipelines.universal/Runtime/Passes/FinalBlitPass.cs,345,// TODO RENDERGRAPH: this should ideally be shared in ExecutePass to avoid code duplication
Packages/com.unity.render-pipelines.universal/Runtime/Passes/ColorGradingLutPass.cs,308,//  TODO RENDERGRAPH: culling? force culling off for testing
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,11,// TODO: move into post-process passes.
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,69,// TODO: move into post-process passes.
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,473,// TODO RENDERGRAPH: handle dynamic scaling
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,747,// TODO: investigate suggested quality improvement trick in more detail:
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,812,// TODO RENDERGRAPH: properly setup dependencies between passes
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,824,// TODO: can't call BlitTexture with unsafe command buffer
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,895,// TODO RENDERGRAPH: properly setup dependencies between passes
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,904,// TODO: can't call BlitTexture with unsafe command buffer
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,948,// TODO RENDERGRAPH: properly setup dependencies between passes
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,960,// TODO: can't call BlitTexture with unsafe command buffer
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,1328,// TODO RENDERGRAPH: properly setup dependencies between passes
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,1655,"// TODO: These should be part of URP main matrix set. For now, we set them here for motion vector rendering."
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,1782,// TODO RENDERGRAPH: convert SRP core lens flare to be rendergraph friendly
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,1925,// TODO RENDERGRAPH: convert SRP core lensflare to be rendergraph friendly
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,2308,// TODO RENDERGRAPH: when we remove the old path we should review the naming of these variables...
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,2722,// io.exposureTexture; // TODO: set exposure texture when available
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,2723,io.preExposureValue = 1.0f; // TODO: set if exposure value is pre-multiplied
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,2767,// TODO (Apoorva): Maybe we want to support this?
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,2876,"// TODO RENDERGRAPH: Once we started removing the non-RG code pass in URP, we should move functions below to renderfunc so that material setup happens at"
Packages/com.unity.render-pipelines.universal/Runtime/Passes/PostProcessPassRenderGraph.cs,3049,// TODO: move into post-process passes.
Packages/com.unity.render-pipelines.universal/Runtime/Passes/AdditionalLightsShadowCasterPass.cs,239,// TODO: Investigate finer-tuned values for those platforms. Soft shadows are implemented differently for them.
Packages/com.unity.render-pipelines.universal/Runtime/Passes/AdditionalLightsShadowCasterPass.cs,916,// TODO: In PC and Consoles we can upload shadow data per light and branch on shader. That will be more likely way faster.
Packages/com.unity.render-pipelines.universal/Runtime/Passes/InvokeOnRenderObjectCallbackPass.cs,18,//TODO: should we fix and re-enable native render pass for this pass?
Packages/com.unity.render-pipelines.universal/Runtime/RendererFeatures/RenderObjects.cs,130,"// TODO: expose opaque, transparent, all ranges as drop down"
Packages/com.unity.render-pipelines.universal/Runtime/RendererFeatures/SurfaceCacheGI/SurfaceCacheGlobalIlluminationRendererFeature.cs,956,"// Hack: Ensures that we only add one Directional light as the ""sunlight"" into World"
Packages/com.unity.render-pipelines.universal/Runtime/History/SingleHistoryBase.cs,6,// TODO: Draft. A convenience base class to wrap single texture into a type.
Packages/com.unity.render-pipelines.universal/Runtime/Data/UniversalRenderPipelineAssetPrefiltering.cs,112,// TODO: Implement a different filter triggers for different passes (i.e. per-pass filter attributes)
Packages/com.unity.render-pipelines.universal/Runtime/Data/UniversalRenderPipelineAsset.DefaultResources.cs,112,"// TODO: When importing project, AssetPreviewUpdater:CreatePreviewForAsset will be called multiple time"
Packages/com.unity.render-pipelines.universal/Runtime/2D/Renderer2D.cs,278,// TODO: Investigate how to make FXAA work with HDR output.
Packages/com.unity.render-pipelines.universal/Runtime/2D/Renderer2D.cs,362,// TODO: this will go away once we remove the builtin dependencies and implement the grid in SRP.
Packages/com.unity.render-pipelines.universal/Runtime/2D/LightUtility.cs,266,// todo Revisit this while we do Batching.
Packages/com.unity.render-pipelines.universal/Runtime/2D/LightUtility.cs,400,// Last Triangle. todo: Remove Clipper Usage and use SpriteShape Geometry Generator for falloff potentially.
Packages/com.unity.render-pipelines.universal/Runtime/2D/Shadows/ShadowRendering.cs,16,"// TODO: Culling of shadow casters, rotate color channels for shadow casting, check get material functions."
Packages/com.unity.render-pipelines.universal/Runtime/2D/Shadows/ShadowRendering.cs,205,// TODO: This will need to take into account on screen lights as shadows can be cast from offscreen.
Packages/com.unity.render-pipelines.universal/Runtime/2D/Shadows/ShadowRendering.cs,235,// TODO: Iterate through the lights
Packages/com.unity.render-pipelines.universal/Runtime/2D/Passes/Utility/RendererLighting.cs,419,// TODO: Remove once Rendergraph becomes default pipeline
Packages/com.unity.render-pipelines.universal/Runtime/2D/Passes/Utility/RendererLighting.cs,540,// TODO: Remove once Rendergraph becomes default pipeline
Packages/com.unity.render-pipelines.universal/Runtime/2D/Rendergraph/Renderer2DRendergraph.cs,30,// TODO RENDERGRAPH: Once all cameras will run in a single RenderGraph we should remove all RTHandles and use per frame RG textures.
Packages/com.unity.render-pipelines.universal/Runtime/2D/Rendergraph/Renderer2DRendergraph.cs,792,// Shadow Pass (TODO: Optimize RT swapping between shadow and light textures)
Packages/com.unity.render-pipelines.universal/Runtime/2D/Rendergraph/Renderer2DRendergraph.cs,911,// TODO RENDERGRAPH: Once all cameras will run in a single RenderGraph we can just use temporary RenderGraph textures as intermediate buffer.
